CURR_AGE,GENDER,ANN_INCOME,PURCHASE
50,1,445344.0,0
35,1,107634.0,0
59,0,502786.6666666667,1
43,1,585664.0,0
39,0,705722.6666666666,1
28,0,389994.6666666667,1
54,1,85056.0,0
28,0,453584.0,0
25,0,324574.6666666666,0
47,1,363206.0,1
61,1,292983.0,0
33,0,438941.3333333333,1
50,1,478445.0,1
25,1,277729.0,1
45,1,385604.0,1
51,0,159413.33333333334,1
25,1,227439.0,0
43,1,572440.0,0
35,1,240251.0,1
58,0,205192.0,1
35,1,108590.0,0
53,0,436709.3333333333,1
53,0,370768.0,0
30,0,396397.3333333333,1
49,0,458992.0,0
43,1,485917.0,1
37,1,361216.0,0
26,0,341240.0,0
35,0,277725.3333333333,0
51,1,607229.0,0
40,1,328247.0,0
64,0,358005.3333333333,1
59,1,450981.0,1
34,0,216370.66666666666,0
50,0,730685.3333333334,1
34,1,146852.0,0
65,0,420082.6666666667,0
51,0,131949.33333333334,1
62,0,136266.66666666666,0
65,0,409160.0,1
52,1,256962.0,0
25,0,365514.6666666667,0
62,1,682251.0,0
47,1,184303.0,1
41,0,366200.0,1
39,1,793682.6666666666,1
28,0,134834.66666666666,0
27,1,192229.0,1
29,1,218007.0,1
42,1,442952.0,0
59,1,669568.0,1
25,0,387785.3333333334,1
47,0,275520.0,0
58,0,401832.0,0
50,1,576933.3333333334,1
59,1,396243.0,1
37,1,234791.0,1
58,0,311133.3333333333,1
33,1,296322.0,0
49,1,363144.0,1
46,1,315221.0,1
36,1,779277.3333333334,1
40,0,292216.0,0
37,0,453501.3333333333,0
40,1,197281.0,1
27,1,248446.0,1
36,0,419744.0,0
52,0,380120.0,1
26,0,146413.33333333334,0
61,1,529399.0,1
60,0,150610.66666666666,1
59,1,737673.0,1
61,0,366653.3333333333,0
42,1,397493.0,1
33,1,292406.0,0
63,0,331237.3333333333,1
60,1,240020.0,1
64,1,121018.0,0
46,1,373478.0,1
32,0,384015.6666666666,1
30,0,213546.66666666666,0
35,1,257308.0,0
34,1,282501.0,1
51,0,252154.66666666666,0
57,1,480760.0,1
26,1,132599.0,0
64,0,153181.33333333334,0
53,0,431624.0,0
38,1,498894.0,1
65,0,97626.66666666667,1
37,1,324297.0,1
49,0,547754.6666666666,1
31,0,405807.3333333334,0
65,0,159648.0,1
62,0,105133.33333333333,0
49,1,298254.0,1
36,0,282392.0,1
63,1,414729.0,1
59,1,412753.0,0
47,1,398253.0,1
43,0,525024.0,1
43,1,405642.0,0
54,0,92864.0,1
55,0,308714.6666666667,0
31,0,357850.3333333334,1
45,1,352042.0,1
62,0,407426.6666666667,0
30,1,298431.0,1
29,1,159186.0,1
34,0,448273.0,0
25,0,344518.6666666666,0
62,1,293809.0,0
58,1,521180.0,1
29,0,193330.66666666666,0
63,1,491967.0,1
63,1,364455.0,1
33,0,329426.0,0
32,1,137376.0,0
46,1,623584.0,1
33,0,440311.3333333334,0
44,0,327656.0,0
30,0,286077.3333333333,1
40,1,156705.0,0
42,1,547376.0,1
50,0,418992.0,0
40,0,410178.6666666667,0
60,1,245295.0,0
33,1,130517.0,0
62,0,502570.6666666667,1
61,0,231938.66666666666,1
39,0,402818.6666666667,0
33,1,126085.0,1
34,0,300106.6666666667,0
52,1,548641.0,0
55,0,452490.6666666667,1
38,1,250767.0,0
61,1,739615.0,1
50,1,410704.0,0
56,0,460232.0,1
42,1,383210.0,0
50,0,428269.3333333333,0
26,1,201025.0,1
50,1,703957.3333333334,1
47,1,448851.0,0
49,1,313491.0,0
51,0,460696.0,1
34,1,212101.0,0
39,0,403288.0,1
36,0,359117.3333333333,1
30,1,206429.0,0
31,1,171595.0,1
39,1,158799.0,0
56,1,450129.0,1
44,1,594890.6666666666,1
64,1,325588.0,0
62,0,423189.3333333333,1
49,0,297602.6666666667,0
28,0,139173.33333333334,1
61,0,369072.0,0
32,1,151120.0,1
25,0,398736.0,0
28,1,215760.0,1
38,0,317861.3333333333,0
52,1,215426.0,1
43,1,366221.0,1
30,1,139415.0,0
52,1,431286.0,1
49,0,750840.0,1
51,1,195015.0,0
32,0,488666.6666666667,0
33,1,267485.0,1
41,1,420102.0,0
54,0,530882.6666666666,0
46,1,326522.0,1
35,0,240805.33333333334,1
46,1,539405.3333333334,1
43,1,259877.0,1
32,0,330118.6666666666,1
39,1,280888.0,1
36,0,427181.3333333333,0
53,1,339461.0,1
32,1,269414.0,0
34,1,205253.0,0
59,1,500732.0,0
33,1,243617.0,1
49,1,134492.0,0
62,0,293661.3333333333,0
27,0,447013.3333333333,1
63,0,181069.33333333334,1
33,0,317437.3333333333,0
63,0,403709.3333333333,1
27,1,205214.0,1
54,0,450053.3333333333,1
61,0,199896.0,1
62,0,194712.0,0
45,1,137660.0,0
58,0,481856.0,1
58,1,126174.0,0
43,0,734605.3333333334,0
33,0,382048.3333333334,1
59,0,203056.0,0
52,1,465582.0,1
50,1,212319.0,0
46,0,366016.0,0
43,0,661573.3333333334,1
63,0,411613.3333333333,1
37,1,397731.0,1
55,1,138584.0,1
28,0,177482.66666666666,1
55,1,776224.0,1
63,1,688604.0,1
29,0,457411.0,1
29,0,498557.3333333333,1
36,1,290958.0,0
60,0,479149.3333333333,1
41,1,176922.0,1
49,1,405799.0,1
57,0,94773.33333333333,0
63,0,413181.3333333333,1
36,0,608234.6666666666,0
59,1,347636.0,1
57,0,199264.0,1
49,0,683741.3333333334,0
41,1,265642.0,0
40,0,511938.6666666667,1
28,0,434554.6666666667,1
59,0,237954.66666666666,1
27,1,230490.0,0
35,1,150900.0,1
50,0,458736.0,0
38,1,572869.3333333334,1
64,1,113709.0,0
56,0,241616.0,0
49,1,495549.0,1
41,0,529834.6666666666,1
57,1,471821.0,1
56,1,378477.0,1
51,0,367565.3333333333,0
61,1,109837.0,1
30,1,235558.0,0
51,0,477813.3333333333,1
31,1,112574.0,0
35,0,151637.33333333334,1
53,1,787609.0,1
30,0,437994.6666666667,0
39,1,444372.0,1
62,1,411862.0,1
33,0,368384.3333333334,1
47,0,659317.3333333334,1
60,0,482248.0,0
33,0,239741.33333333334,0
51,1,793627.0,1
29,0,466160.0,1
59,1,166379.0,0
36,1,443703.0,0
55,1,122931.0,0
55,1,110499.0,0
51,0,88680.0,0
34,0,342933.3333333333,1
30,1,257651.0,0
33,0,331716.6666666666,0
62,1,137580.0,0
48,1,385394.0,1
64,1,779778.0,1
47,1,170486.0,0
48,0,347008.0,1
48,0,483365.3333333333,1
54,0,303965.3333333333,0
36,1,196575.0,1
55,0,408050.6666666667,0
64,1,106193.0,0
42,0,341970.6666666667,0
34,0,401235.0,0
59,1,308839.0,0
65,0,166530.66666666666,0
46,0,459746.6666666667,1
25,0,379876.0,0
48,0,531717.3333333334,1
51,0,358352.0,1
28,0,469074.6666666667,0
31,0,334384.0,1
44,1,181029.0,0
56,1,740746.0,1
51,0,378904.0,1
51,0,421677.3333333333,1
56,0,171002.66666666666,0
53,1,513727.0,1
56,0,87858.66666666667,0
41,1,394836.0,0
63,1,633688.0,0
45,0,326554.6666666667,1
44,1,478692.0,1
59,0,272045.3333333333,1
30,0,255157.33333333334,1
54,1,142597.0,1
65,0,321733.3333333333,1
41,0,608949.3333333334,0
33,0,445744.3333333334,0
33,0,487368.0,0
31,1,286693.0,0
54,1,367247.0,1
27,1,191639.0,1
53,0,319445.3333333333,1
33,1,194434.0,0
62,1,391364.0,0
41,1,592416.0,0
47,1,293732.0,1
47,1,146687.0,1
37,1,482575.0,1
25,1,161457.0,1
35,1,287076.0,0
29,1,171903.0,0
38,1,744202.6666666666,1
36,1,758280.0,1
30,1,285007.0,1
30,0,478325.3333333333,1
37,1,434249.0,0
31,0,372776.0,0
53,1,248346.0,0
39,1,387742.0,1
43,1,252653.0,1
40,1,304007.0,0
63,0,488994.6666666667,0
61,0,129037.33333333333,0
51,0,119389.33333333333,0
64,1,297888.0,0
46,1,488740.0,1
52,0,372018.6666666667,1
65,0,407682.6666666667,0
54,0,199381.33333333334,0
62,1,432126.0,0
35,0,453600.0,0
63,0,281781.3333333333,1
59,0,520701.3333333333,1
26,1,169736.0,0
64,0,282090.6666666667,1
39,1,398483.0,1
51,0,516285.3333333333,1
46,1,164721.0,1
49,1,548824.0,1
49,1,291493.0,1
37,0,665368.0,1
51,0,446626.6666666667,1
65,1,391174.0,0
59,0,136861.33333333334,0
35,1,100259.0,1
64,0,426720.0,1
38,1,330965.0,1
57,1,781754.0,1
40,1,212213.0,1
51,1,485904.0,1
61,0,171549.33333333334,0
37,1,264193.0,0
28,0,196229.33333333334,0
59,0,457080.0,0
58,1,635837.0,1
35,1,298021.0,1
42,0,630717.3333333334,1
48,1,290833.0,0
36,1,374075.0,1
39,1,125176.0,0
60,0,127029.33333333333,1
59,0,316666.6666666667,0
36,0,274872.0,1
30,1,178731.0,1
60,0,132224.0,0
53,0,513061.3333333333,1
47,0,344040.0,1
50,0,279882.6666666667,0
45,1,331459.0,1
43,1,582914.6666666666,1
48,1,347048.0,0
30,1,110721.0,1
56,0,200357.33333333334,0
35,1,170833.0,1
52,0,345690.6666666667,1
27,0,267669.3333333333,1
56,1,589550.0,1
34,0,144389.33333333334,0
45,0,318032.0,1
39,1,241906.0,1
34,1,195720.0,0
38,1,436892.0,0
40,1,328892.0,0
31,1,287206.0,1
52,1,594865.0,1
61,0,243053.33333333334,0
59,1,335735.0,1
31,0,365857.6666666666,1
53,1,351715.0,1
26,0,368552.0,0
46,1,120648.0,0
39,0,406216.0,0
39,0,723461.3333333334,0
26,0,350271.3333333334,1
62,1,112922.0,0
40,0,339328.0,1
65,0,236016.0,1
32,1,177884.0,1
64,1,301744.0,1
64,1,72138.0,0
36,0,287733.3333333333,1
30,0,337248.0,0
37,1,521922.6666666667,1
62,1,725155.0,1
63,1,154494.0,1
26,1,114319.0,0
47,0,454234.6666666667,1
63,1,535350.0,1
55,0,374984.0,1
44,1,226511.0,0
61,1,570420.0,1
36,1,667101.3333333334,1
44,1,379859.0,0
25,0,218589.33333333334,0
38,1,451147.0,1
27,0,440148.6666666666,1
34,1,248961.0,1
65,1,451333.0,0
60,0,479821.3333333333,1
34,1,209863.0,1
61,1,489814.0,0
40,0,701277.3333333334,1
44,1,375053.0,1
35,1,215735.0,1
38,1,444794.0,0
54,0,463250.6666666667,1
60,1,726145.0,1
43,1,382163.0,0
26,1,156735.0,1
37,0,587728.0,1
64,1,356890.0,0
51,1,367024.0,1
27,1,293422.0,1
52,0,495042.6666666667,1
37,1,311387.0,1
33,0,403633.3333333334,1
42,1,432658.0,1
33,1,192157.0,1
53,1,74438.0,0
53,1,766460.0,1
51,0,251026.66666666666,0
47,0,373136.0,1
36,1,544405.3333333334,1
62,1,312569.0,1
38,1,442213.0,1
60,0,278773.3333333333,0
60,0,321181.3333333333,1
48,1,375688.0,1
40,0,521824.0,1
37,0,328237.3333333333,0
30,1,258885.0,0
34,0,466138.6666666667,1
48,1,360592.0,0
43,1,126507.0,1
60,0,91605.33333333333,0
57,0,467714.6666666667,0
55,1,194008.0,1
56,0,418717.3333333333,0
43,1,362258.0,0
59,0,358632.0,1
25,1,210229.0,1
65,0,500301.3333333333,1
33,0,244272.0,0
44,0,367720.0,0
63,1,391285.0,1
26,0,250256.0,0
56,0,154482.66666666666,1
48,1,390169.0,1
27,1,190820.0,1
25,1,223470.0,1
43,1,616413.3333333334,1
30,0,421264.0,1
55,1,744584.0,0
40,1,261481.0,0
33,0,193461.33333333334,0
38,1,629440.0,1
55,1,209813.0,0
55,0,187621.33333333334,0
55,1,626450.0,0
30,0,457941.3333333333,1
26,1,204953.0,0
56,1,349492.0,1
49,0,462114.6666666667,1
56,0,213021.33333333334,1
36,1,144461.0,1
32,1,182430.0,1
56,0,395056.0,1
42,0,424968.0,1
38,0,369701.3333333333,1
60,0,336362.6666666667,1
56,0,170069.33333333334,0
30,0,362253.3333333333,1
60,0,184869.33333333334,0
55,1,220360.0,1
52,0,406370.6666666667,1
48,0,387002.6666666667,1
41,0,335448.0,0
39,1,423928.0,0
63,0,503021.3333333333,0
27,1,284696.0,1
40,1,409777.0,1
45,1,379523.0,1
26,1,111299.0,0
35,1,165875.0,0
47,1,351466.0,0
61,0,439906.6666666667,0
39,1,414981.0,1
25,0,421602.6666666667,1
40,1,799874.6666666666,1
40,1,275369.0,1
47,1,320075.0,0
29,0,164517.33333333334,0
41,0,532800.0,1
62,1,200148.0,1
43,1,248003.0,1
26,0,482744.0,1
27,0,355050.0,0
35,1,102165.0,1
48,0,469770.6666666667,1
45,1,196040.0,1
35,1,144078.0,0
31,0,304512.0,1
31,0,156101.33333333334,0
34,1,142028.0,1
46,1,397192.0,1
28,0,269272.0,1
59,0,191136.0,1
53,0,88621.33333333333,0
34,0,334658.6666666667,1
39,0,574168.0,0
34,0,336480.0,1
54,1,535432.0,1
55,0,209858.66666666666,0
44,0,330200.0,0
47,0,471397.3333333333,1
56,0,379280.0,1
51,0,152221.33333333334,1
